Role;F-measure
1;0,951382981657702
5;0,871783633236646
2;0,708015194681861
4;0,707054860442733
0;0,703130176221679
6;0,762134589554491
3;0,692134589554491
Role;F-measure
1;0,958770333609043
5;0,872213526988944
4;0,721657342657343
0;0,740998426409687
6;0,806175478798589
2;0,702500802568218
3;0,702134589554491
Role;F-measure
1;0,957870563674322
2;0,701353426919901
5;0,872322444381864
0;0,73931172146898
4;0,72246017699115
6;0,813831971109273
3;0,7071345895544910
Role;F-measure
1;0,962515458122541
2;0,693878231859883
5;0,874568438897495
0;0,741093574745152
4;0,723811320754717
6;0,801573830856772
3;0,7051345895544910