Role;F-measure
1;0,9733829816577020
5;0,8967836332366460
2;0,7280151946818610
4;0,7370548604427330
0;0,71513017622167900
6;0,7821345895544910
3;0,7121345895544910
Role;F-measure
1;0,9787703336090430
5;0,9052135269889440
4;0,7326573426573430
0;0,7599984264096870
6;0,826175478798589
2;0,7265008025682180
3;0,7091345895544910
Role;F-measure
1;0,9778705636743220
2;0,7223534269199010
5;0,9053224443818640
0;0,7683117214689800
4;0,7364601769911500
6;0,8298319711092730
3;0,7071345895544910
Role;F-measure
1;0,9775154581225410
2;0,723878231859883
5;0,904568438897495
0;0,7620935747451520
4;0,729811320754717
6;0,8315738308567720
3;0,7051345895544910